date,WETH,LDO,WETH_price,LDO_price,WETH_usd_volume,LDO_usd_volume,daily_volume_usd,fees_usd
2023-06-19,651474.0671493008,651.3903928697512,1737.11,1.774,1131682116.7857218,1155.5665569509385,1131683272.3522787,3395049.817056836
2023-06-20,875465.9196730002,913.315327394247,1791.99,1.859,1568826173.3948197,1697.853193625905,1568827871.2480133,4706483.61374404
2023-06-21,1057993.3954199434,1100.9465791671312,1889.11,1.957,1998665903.221769,2154.552455430076,1998668057.7742245,5996004.173322674
2023-06-22,948389.7652366946,984.3661117675514,1872.01,1.889,1775395124.4207447,1859.4675851289046,1775396983.8883297,5326190.951664989
2023-06-23,685294.7228102417,695.1506884666563,1892.63,1.931,1297009351.232348,1342.3359794291134,1297010693.5683274,3891032.0807049824
2023-06-24,983763.3840502336,968.657694371638,1874.96,1.83,1844516994.5588262,1772.6435807000976,1844518767.202407,5533556.30160722
2023-06-25,1009490.2355874974,1028.856282302434,1898.8,1.936,1916820059.33354,1991.8657625375122,1916822051.1993024,5750466.153597907
2023-06-26,645723.5806699008,662.0604837005644,1858.97,1.924,1200380764.7579255,1273.804370639886,1200382038.5622962,3601146.1156868883
2023-06-27,853882.6519692432,894.0887935437895,1889.58,1.955,1613479581.5080426,1747.9435913781085,1613481329.451634,4840443.988354902
2023-06-28,619941.0739712265,627.4372410672936,1828.02,1.856,1133264682.0408814,1164.523519420897,1133265846.564401,3399797.539693203
2023-06-29,389436.7411873475,395.75364471927804,1851.99,1.875,721232950.3115557,742.0380838486464,721233692.3496395,2163701.0770489187
2023-06-30,1881521.8144424295,1962.2529115600425,1933.79,2.053,3638468069.550626,4028.5052274327672,3638472098.0558534,10915416.29416756
2023-07-01,981446.1958569796,1072.1230863276567,1924.5,2.137,1888793203.926757,2291.1270354822022,1888795495.0537925,5666386.485161377
2023-07-02,1619218.0370431775,1781.5000342617136,1937.48,2.124,3137202562.4104156,3783.9060727718797,3137206346.3164883,9411619.038949465
2023-07-03,2685832.51029488,3017.3243579762548,1955.54,2.238,5252252907.182049,6752.771913150858,5252259659.953962,15756778.979861887
2023-07-04,1250029.1516116469,1403.9337769553472,1936.2,2.149,2420306443.3504705,3017.0536866770412,2420309460.404157,7260928.381212472
2023-07-05,714019.7114963413,779.5059520195117,1910.36,2.065,1364034696.0541503,1609.6797909202917,1364036305.7339413,4092108.917201824
2023-07-06,1000593.1844920376,1066.5953593020938,1846.17,1.913,1847265119.4136653,2040.3969223449055,1847267159.8105876,5541801.479431763
2023-07-07,891815.8515505833,919.4404000190368,1870.91,1.933,1668507194.8245018,1777.2782932367982,1668508972.102795,5005526.916308384
2023-07-08,528743.8874840715,551.9595023077076,1865.24,1.955,986234248.6907896,1079.0808270115683,986235327.7716166,2958705.98331485
2023-07-09,176296.98095187324,183.62942504122083,1862.8,1.924,328406016.1171495,353.30301377930886,328406369.4201633,985219.1082604899
2023-07-10,989007.978238796,1024.4938856893234,1880.4,1.958,1859730602.2802322,2005.9590281796952,1859732608.2392604,5579197.8247177815
2023-07-11,375990.9473893921,387.16903054075357,1878.3,1.914,706223796.4814953,741.0415244550023,706224537.5230197,2118673.6125690592
2023-07-12,491745.4241595055,495.0394425299124,1871.82,1.883,920458919.8502456,932.159270283825,920459852.0095159,2761379.5560285477
2023-07-13,4648375.695961094,5113.611444473412,2004.49,2.289,9317622598.797054,11705.056596399641,9317634303.853651,27952902.911560953
2023-07-14,5623594.592432313,6669.053595513745,1937.83,2.349,10897570309.053108,15665.606895861787,10897585974.660004,32692757.923980013
2023-07-15,2623982.2502666805,3243.373888427164,1931.41,2.312,5067985557.98757,7498.680430043602,5067993056.668,15203979.170004
2023-07-16,1234069.2461868548,1451.4519424550347,1922.11,2.176,2372016838.788215,3158.359426782156,2372019997.147642,7116059.991442926
2023-07-17,1758724.4112961602,1922.309622443462,1911.2,2.06,3361274094.869221,3959.957822233532,3361278054.8270435,10083834.164481131
2023-07-18,1115142.4823998502,1200.4254776871921,1897.21,2.031,2115659469.0338197,2438.0641451826873,2115661907.0979648,6346985.721293895
2023-07-19,978146.7808811384,1055.646062864501,1888.63,2.081,1847357354.7755446,2196.7994568210265,1847359551.5750015,5542078.654725005
2023-07-20,949657.8379864236,1055.6435624823425,1891.59,2.056,1796363269.756739,2170.403164463696,1796365440.1599033,5389096.32047971
2023-07-21,466364.1275648617,504.15571469983615,1891.73,2.022,882235011.0382758,1019.4028551230685,882236030.441131,2646708.091323393
2023-07-22,241457.58590038362,259.51986790946125,1866.52,1.996,450685413.234784,518.0016563472847,450685931.23644036,1352057.7937093212
2023-07-23,508477.5631992277,550.4613041010527,1888.73,2.046,960376827.9412773,1126.243828190754,960377954.1851054,2881133.862555316
2023-07-24,720600.9493401416,764.3040801960823,1850.0,1.979,1333111756.279262,1512.557774708047,1333113268.8370368,3999339.8065111106
2023-07-25,1257070.322261472,1353.3039698773293,1857.66,1.956,2335209254.8522463,2647.062565080056,2335211901.914811,7005635.705744433
2023-07-26,1365208.405375245,1396.7828525104878,1872.0,1.927,2555670134.8624587,2691.60055678771,2555672826.4630156,7667018.479389047
2023-07-27,584971.2781000901,603.9507259387418,1861.28,1.916,1088795340.5021358,1157.1695908986292,1088796497.6717267,3266389.4930151803
